district_id,division_id,participated,participated_men,participated_women,total_registered_voters,total_registered_voters_men,total_registered_voters_women
03,00.03.42,1026,420,606,1510,616,894
03,00.03.43,836,358,478,1282,553,729
03,00.03.44,1074,449,625,1526,642,884
03,00.03.45,1026,413,613,1414,579,835
03,00.03.46,957,409,548,1286,545,741
03,00.03.47,1002,398,604,1448,590,858
03,00.03.48,1062,434,628,1480,602,878
03,00.03.49,1038,415,623,1443,588,855
03,00.03.50,1111,479,632,1478,630,848
03,00.03.51,1170,483,687,1501,642,859
03,00.03.52,795,316,479,1305,531,774
03,00.03.53,1116,480,636,1500,664,836
03,00.03.54,1006,458,548,1342,604,738
03,00.03.55,931,381,550,1460,611,849
03,00.03.56,973,423,550,1540,671,869
03,00.03.57,1069,469,600,1493,627,866
03,00.03.58,1070,446,624,1536,633,903
03,00.03.59,1020,406,614,1485,635,850
03,00.03.60,864,356,508,1264,541,723
03,00.03.61,952,373,579,1321,506,815
03,00.03.62,1184,501,683,1716,738,978
03,00.03.63,1113,509,604,1754,818,936
03,00.03.64,1877,850,1027,3207,1437,1770
03,00.03.65,706,324,382,1008,466,542
03,00.03.66,943,464,479,1544,711,833
03,00.03.67,976,464,512,1731,811,920
03,00.03.68,1137,507,630,1885,837,1048
03,00.03.69,900,438,462,1415,676,739
03,00.03.70,840,426,414,1394,672,722
03,00.03.71,1033,417,616,1611,673,938
03,00.03.72,2235,928,1307,3339,1415,1924
03,00.03.73,1195,513,682,1718,756,962
03,00.03.74,1049,441,608,1510,671,839
03,00.03.75,1123,459,664,1547,636,911
03,00.03.76,2146,935,1211,3215,1398,1817
03,00.03.77,451,197,254,1176,516,660
03,00.03.78,869,397,472,1338,607,731
03,00.03.79,1125,486,639,1737,734,1003
03,00.03.80,990,405,585,1414,601,813
03,00.03.81,965,396,569,1396,593,803
03,00.03.82,945,381,564,1402,602,800
03,00.03.83,1087,479,608,1610,719,891
03,00.03.84,1344,551,793,2091,868,1223
03,00.03.85,889,380,509,1369,603,766
03,00.03.86,880,387,493,1375,611,764
03,00.03.87,1135,482,653,1842,776,1066
03,00.03.88,916,388,528,1421,611,810
03,00.03.89,1730,778,952,2558,1130,1428
03,00.03.90,1090,471,619,1761,775,986
03,00.03.91,1610,747,863,2605,1184,1421
04,00.04.01,690,257,433,1255,510,745
04,00.04.02,1492,605,887,2651,1114,1537
04,00.04.03,1298,507,791,2462,1017,1445
04,00.04.04,1275,557,718,2429,1029,1400
04,00.04.05,1248,536,712,2384,1049,1335
