district_id,district_alt_id,division_id,division_type,address_1,address_2,address_3,address_4,is_abroad,cancelled,lat,lng,division_is_covid,election_type,total_registered_voters,total_registered_voters_men,total_registered_voters_women,election_numeric_id,total_votes,participated_ocr_traditional,participated_ocr_confidence_traditional,invalid_ballots_ocr_traditional,invalid_ballots_ocr_confidence_traditional,participated_cec,participated_men_cec,participated_women_cec,invalid_ballots_ocr_confidence_electronic,invalid_ballots_ocr_electronic,participated_ocr_confidence_electronic,participated_ocr_electronic,c_participated,c_invalid_ballots,protocols_traditional,protocols_electronic,CAND3,CAND4,CAND5,CAND6,CAND8,CAND9,CAND10,CAND12,CAND16,CAND17,CAND20,CAND21,CAND23,CAND25,CAND26,CAND27,CAND36,CAND41
01,Tbilisi - 01 მთაწმინდა,00.01.11,electronic,104-ე  საჯარო სკოლა,104-ე  საჯარო სკოლა,ათონელის ქ. 5,,False,False,41.69772160000001, 44.80532735337297,,proportional,2528,1080,1448,57,1534,1544.0,1.0,10.0,0.8333333333333333,1544,671,873,1.0,10.0,1.0,1544.0,1544,10.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/392852e3-b689-439d-a9bb-525ecbfa659b,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/392852e3-b689-439d-a9bb-525ecbfa659b,3,209,98,2,57,208,17,0,5,2,5,3,5,168,0,4,91,657
01,Tbilisi - 01 მთაწმინდა,00.01.12,electronic,მე-20 საჯარო სკოლა,მე-20 საჯარო სკოლა,ლ.ალექსი-მესხიშვილის ქ. 5,,False,False,41.700797973854975, 44.799517313491805,,proportional,1238,493,745,57,783,793.0,0.8333333333333333,10.0,1.0,778,312,466,1.0,10.0,1.0,793.0,778,10.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/95594762-166e-40dc-aeae-958054ffc7b9,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/95594762-166e-40dc-aeae-958054ffc7b9,0,135,43,1,17,105,7,0,4,0,3,0,0,79,0,1,25,363
01,Tbilisi - 01 მთაწმინდა,00.01.13,electronic,მე-20  საჯარო სკოლა,მე-20  საჯარო სკოლა,მარი ბროსეს ქ. 8,,False,False,41.702219470228016, 44.79916744491349,,proportional,1163,485,678,57,775,,,7.0,1.0,781,319,462,1.0,7.0,1.0,782.0,781,7.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/2adcd2ac-d9c8-4dba-9c9e-76b71447699b,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/2adcd2ac-d9c8-4dba-9c9e-76b71447699b,1,131,79,3,16,130,7,2,3,0,4,0,0,77,0,2,35,285
01,Tbilisi - 01 მთაწმინდა,00.01.14,electronic,ა.ქუთათელაძის სახ.თბილისის სახელმწიფო სამხატვრო აკადემია,ა.ქუთათელაძის სახ.თბილისის სახელმწიფო სამხატვრო აკადემია,ალ.გრიბოედოვის ქ. 22,,False,False,41.70146375245136, 44.79259752366486,,proportional,1388,600,788,57,909,914.0,0.8333333333333333,5.0,1.0,914,382,532,1.0,5.0,1.0,914.0,914,5.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/06e2e97a-fa79-4991-a3de-1d2f58484865,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/06e2e97a-fa79-4991-a3de-1d2f58484865,0,163,71,1,31,125,10,1,7,1,0,1,1,103,0,2,47,345
01,Tbilisi - 01 მთაწმინდა,00.01.15,electronic,საქართველოს მეცნიერებათა ეროვნული აკადემია,საქართველოს მეცნიერებათა ეროვნული აკადემია,შ.რუსთაველის გამზ. 52,,False,False,41.703080901779884, 44.790980185983244,,proportional,1426,592,834,57,937,941.0,0.8333333333333333,0.0,0.8333333333333333,924,564,360,1.0,7.0,1.0,941.0,924,7.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/fb9f4fc6-0915-4a0f-973c-40efae23d2f5,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/fb9f4fc6-0915-4a0f-973c-40efae23d2f5,0,164,82,2,37,143,10,0,10,0,4,0,0,92,1,1,50,341
01,Tbilisi - 01 მთაწმინდა,00.01.16,electronic,მ.კეკელიძის სახ. ბავშვთა და მოზარდთა კალათბურთის სასახლე,მ.კეკელიძის სახ. ბავშვთა და მოზარდთა კალათბურთის სასახლე,მ.კოსტავას ქ. 45,,False,False,41.708226505497244, 44.787552202064916,,proportional,2461,1065,1396,57,1652,1674.0,1.0,20.0,0.8333333333333333,1674,744,930,1.0,19.0,1.0,1673.0,1674,19.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/344d9c5f-2213-44e9-826d-c32633d47c88,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/344d9c5f-2213-44e9-826d-c32633d47c88,2,227,121,3,43,274,14,2,6,1,1,4,3,180,1,4,85,681
01,Tbilisi - 01 მთაწმინდა,00.01.17,electronic,შ.რუსთაველის სახ. ქართული ლიტერატურის ინსტიტუტი,შ.რუსთაველის სახ. ქართული ლიტერატურის ინსტიტუტი,მ.კოსტავას ქ. 5,,False,False,41.7047713, 44.7900024,,proportional,2301,987,1314,57,1478,7497.0,0.8333333333333333,13.0,0.8333333333333333,1472,628,844,1.0,12.0,1.0,1490.0,1472,12.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/8d52579e-48cf-4995-9571-f805012a2ea3,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/8d52579e-48cf-4995-9571-f805012a2ea3,1,233,102,2,55,232,15,1,11,1,1,1,6,165,0,1,83,568
01,Tbilisi - 01 მთაწმინდა,00.01.18,electronic,თსუ ეკონომიკის საერთაშორისო სკოლა,თსუ ეკონომიკის საერთაშორისო სკოლა,მ.ზანდუკელის ქ. 16,,False,False,41.70425, 44.78805,,proportional,1441,617,824,57,906,973.0,1.0,,,912,372,540,1.0,9.0,1.0,915.0,912,9.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/f8f00488-d902-4b67-9271-06acbc0b9b47,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/f8f00488-d902-4b67-9271-06acbc0b9b47,1,164,68,3,31,143,10,0,2,0,0,0,2,123,0,2,59,298
01,Tbilisi - 01 მთაწმინდა,00.01.19,electronic,ე.მიქელაძის სახ.თბილისის ცენტრალური სამუსიკო სასწავლებელი,ე.მიქელაძის სახ.თბილისის ცენტრალური სამუსიკო სასწავლებელი,ვ.ბარნოვის ქ. 54,,False,False,41.70490, 44.78164,,proportional,1375,573,802,57,924,927.0,1.0,3.0,0.8333333333333333,916,373,543,1.0,3.0,1.0,927.0,916,3.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/d0a0c5ec-2b53-41c9-9acf-bbe4db25963e,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/d0a0c5ec-2b53-41c9-9acf-bbe4db25963e,0,131,70,1,27,143,15,0,6,0,4,2,0,110,1,2,49,363
01,Tbilisi - 01 მთაწმინდა,00.01.20,electronic,152-ე ბაგა-ბაღი,152-ე ბაგა-ბაღი,ვ.ბარნოვის ქ. 62,,False,False,41.70541, 44.78050,,proportional,1434,602,832,57,1048,1056.0,1.0,8.0,1.0,1041,435,606,1.0,8.0,1.0,1056.0,1041,8.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/cb3cf9e8-495f-4164-bd21-f017583bc333,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/cb3cf9e8-495f-4164-bd21-f017583bc333,1,166,86,5,28,178,10,1,2,0,0,0,1,106,0,7,52,405
